RESOURCE_ID,GENERATION_UNIT_ID,NODE_ID,AGGE_TYPE,RESOURCE_TYPE,COMMENTS,EFF_START_DT_GMT,EFF_END_DT_GMT,EFF_START_DT,EFF_END_DT
PORT_TRCYCOTP_I_AS_CERT01,PORT_TRCYCOTP_I_AS_CERT01,CAPTJACK_5_N015,N,TG,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
SAUGUS_6_CREST,SAUGUS_6_CREST,SAUGUS_6_N015,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
OAK C_1_EBMUD,OAK C_1_EBMUD,OAKC12_7_N012,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
MIRLOM_2_RTS033,MIRLOM_2_RTS033,MIRALOMA_6_N012,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
MGSR_7_SOLAR,MGSR_7_SOLAR,MGSR_7_SOLARGNODE,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
HOLT_1_SOLAR1,HOLT_1_SOLAR1,HOLT_NODE1,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
MALIN_5_INHRPG,MALIN_5_INHRPG,MALIN_5_N101,N,TG,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
NHTS_6_GEOTHERMAL,NHTS_6_GEOTHERMAL,NHTS_GNODE011,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
TOKETEE_7_UNIT 3,TOKETEE_7_UNIT 3,TOKETEE_NODE3,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
BLDRSLR_2_UNIT1,BLDRSLR_2_UNIT1,BLDRSLR_GNODE1,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
REDMAN_6_AVSSR1,REDMAN_6_AVSSR1,REDMGEN_7_N003,N,GEN,Comments,2022-01-01T08:00:00-00:00,2031-01-01T07:59:59-00:00,2022-01-01T00:00:00,2030-12-31T23:59:59
